game_id,character,missions_participated,boat_missions_participated,tools_repaired,lesser_evil_uses,requirement_discounts_used
296325ecc0d5ffe2,CRAFTSMAN,5,2,1,0,0
296325ecc0d5ffe2,GATHERER,6,1,0,0,0
296325ecc0d5ffe2,SAILOR,4,1,0,2,0
296325ecc0d5ffe2,COOK,4,1,0,0,0
296325ecc0d5ffe2,BUILDER,4,2,0,0,4
296325ecc0d5ffe2,FIRE_STARTER,6,2,0,0,1
259a5d07d71f3473,BUILDER,4,1,0,0,3
259a5d07d71f3473,SAILOR,5,2,0,2,0
259a5d07d71f3473,CRAFTSMAN,3,1,2,0,0
259a5d07d71f3473,GATHERER,5,1,0,0,0
259a5d07d71f3473,FIRE_STARTER,4,2,0,0,1
259a5d07d71f3473,COOK,5,2,0,0,0
6559fe61497155ac,COOK,3,1,0,0,0
6559fe61497155ac,FIRE_STARTER,4,1,0,0,1
6559fe61497155ac,GATHERER,4,1,0,0,0
6559fe61497155ac,BUILDER,5,3,0,0,2
6559fe61497155ac,CRAFTSMAN,4,2,1,0,0
6559fe61497155ac,SAILOR,3,1,0,2,0
c3dd91788ef2e3bb,FIRE_STARTER,4,3,0,0,2
c3dd91788ef2e3bb,GATHERER,4,3,0,0,0
c3dd91788ef2e3bb,SAILOR,4,0,0,1,0
c3dd91788ef2e3bb,CRAFTSMAN,4,0,2,0,0
c3dd91788ef2e3bb,COOK,2,2,0,0,0
c3dd91788ef2e3bb,BUILDER,4,1,0,0,4
7650120e31105034,FIRE_STARTER,5,3,0,0,1
7650120e31105034,COOK,6,1,0,0,0
7650120e31105034,SAILOR,3,1,0,1,0
7650120e31105034,BUILDER,3,2,0,0,2
7650120e31105034,GATHERER,6,1,0,0,0
7650120e31105034,CRAFTSMAN,2,1,1,0,0
fe56b87bd7d5f041,GATHERER,3,2,0,0,0
fe56b87bd7d5f041,FIRE_STARTER,4,1,0,0,1
fe56b87bd7d5f041,COOK,3,0,0,0,0
fe56b87bd7d5f041,SAILOR,4,2,0,3,0
fe56b87bd7d5f041,CRAFTSMAN,2,1,1,0,0
fe56b87bd7d5f041,BUILDER,4,3,0,0,4
6a2bbeafc39d46c7,GATHERER,4,2,0,0,0
6a2bbeafc39d46c7,SAILOR,5,2,0,4,0
6a2bbeafc39d46c7,FIRE_STARTER,4,1,0,0,0
6a2bbeafc39d46c7,BUILDER,6,2,0,0,6
6a2bbeafc39d46c7,CRAFTSMAN,2,1,2,0,0
6a2bbeafc39d46c7,COOK,5,1,0,0,0
