game_id,resource,consumed,mission_failures
296325ecc0d5ffe2,WOOD,19,1
296325ecc0d5ffe2,STONE,17,0
296325ecc0d5ffe2,ROPE,21,2
259a5d07d71f3473,WOOD,21,0
259a5d07d71f3473,STONE,13,0
259a5d07d71f3473,ROPE,16,2
74570438e9a72e0c,WOOD,5,0
74570438e9a72e0c,STONE,3,0
74570438e9a72e0c,ROPE,6,0
6559fe61497155ac,WOOD,15,1
6559fe61497155ac,STONE,6,1
6559fe61497155ac,ROPE,15,1
5723fa7ec997a08b,WOOD,6,0
5723fa7ec997a08b,STONE,7,0
5723fa7ec997a08b,ROPE,11,0
ca46488374715545,WOOD,8,1
ca46488374715545,STONE,6,0
ca46488374715545,ROPE,8,1
78624e3b7fa15dea,WOOD,14,1
78624e3b7fa15dea,STONE,9,2
78624e3b7fa15dea,ROPE,11,1
c3dd91788ef2e3bb,WOOD,15,3
c3dd91788ef2e3bb,STONE,8,1
c3dd91788ef2e3bb,ROPE,17,0
cf166a330830ab35,WOOD,10,0
cf166a330830ab35,STONE,9,0
cf166a330830ab35,ROPE,6,2
c964c5f7d8994d8e,WOOD,12,0
c964c5f7d8994d8e,STONE,6,0
c964c5f7d8994d8e,ROPE,15,1
f68c46ffab1840aa,WOOD,8,1
f68c46ffab1840aa,STONE,8,1
f68c46ffab1840aa,ROPE,11,2
7650120e31105034,WOOD,18,0
7650120e31105034,STONE,9,0
7650120e31105034,ROPE,23,0
1e6c794e6390f963,WOOD,14,0
1e6c794e6390f963,STONE,3,0
1e6c794e6390f963,ROPE,14,2
401ee1ac20a7bf91,WOOD,14,1
401ee1ac20a7bf91,STONE,3,0
401ee1ac20a7bf91,ROPE,12,2
f89e189e9c13108e,WOOD,8,3
f89e189e9c13108e,STONE,9,0
f89e189e9c13108e,ROPE,12,1
34a72553caa0afb1,WOOD,18,2
34a72553caa0afb1,STONE,9,1
34a72553caa0afb1,ROPE,12,1
ef7f0dec43c63606,WOOD,14,0
ef7f0dec43c63606,STONE,6,0
ef7f0dec43c63606,ROPE,12,1
8e68f07169111dc5,WOOD,8,1
8e68f07169111dc5,STONE,6,1
8e68f07169111dc5,ROPE,12,1
fe56b87bd7d5f041,WOOD,14,1
fe56b87bd7d5f041,STONE,16,0
fe56b87bd7d5f041,ROPE,17,0
6a2bbeafc39d46c7,WOOD,22,1
6a2bbeafc39d46c7,STONE,14,0
6a2bbeafc39d46c7,ROPE,19,1
d2ca4d9f0079cf1f,WOOD,14,2
d2ca4d9f0079cf1f,STONE,15,0
d2ca4d9f0079cf1f,ROPE,14,0
b9068411ffd88af4,WOOD,10,1
b9068411ffd88af4,STONE,7,2
b9068411ffd88af4,ROPE,14,1
12473bdee3ffc467,WOOD,13,0
12473bdee3ffc467,STONE,9,0
12473bdee3ffc467,ROPE,9,2
f2039a8b07eb66c0,WOOD,9,1
f2039a8b07eb66c0,STONE,4,0
f2039a8b07eb66c0,ROPE,9,0
2de7caff06a6c5c7,WOOD,6,1
2de7caff06a6c5c7,STONE,6,0
2de7caff06a6c5c7,ROPE,8,1
